Message   IsError?
Arash Markazi of ESPN.com was kind enough to post CompuBox's official statistics on Twitter. Check them out   0
They have separate places now, nearby.  0
She brought rippling emotion to every take of her Spotify vocals, then went to the control booth to instruct the engineer.    0
Maintenance is being performed    1
General Error   1
Error establishing a database connection    1
Fatal error has occurred    1
We're sorry, but something went wrong, we've been notified about this issue and we will take action shortly   1
403 Forbidden   1
Amp Validation had errors   1
404 Error, Looks like no one else is here   1
404. Thats an error   1
Proxy Error   1
This webpage is not available   1
Please try again in 30 seconds    1
Could not connect to MySql    1
Sorry, Its not you its us.    1
502 - Web server received an invalid response while acting as a gateway or proxy server.    1
Sorry! We couldn't find it.   1
Error 522 Connection timed out    1
We have established a good connection   0
Everything looks to be in working order   0
Connection successful   0
It pains me how much this does not work   0
This doesn't seem to work the way I want it to    0
This pages is so buggy    0
504 Gateway Time-out    1
Oops.. You've clicked on a dead link    1
Secure connection failed    1
Please see your admin for help, something went wrong here   1
The requested document was not found on this server   1
The IP Address you requested from this server could not be found    1
The application failed to initialize properly   1
The page cannot be found    1
An unkown Error has occurred    1
The startup disk is almost full   1
Unexpected Error    1
Failed to connect to Server   1
The system could not find the path specified    1
The system is down at the moment    1
You don't have permission to access   1
The requested url could not be received   1
This page cannot be displayed   1
You don't have permission to access '/' on the server   1
Oh No! Where's my page    1
Unable to connect   1
The connectionist have won    0
There is a clear error code here my man.    0
What are all the common things I should care about    0
We failed to make a connection between one another    0
In our conversation we spoke about expected outcomes    0
I keep failing to make an impression    0
HTTP Error- Process Failure   1
Connectivity is incomplete between us   0
The man is winning his fights!    0
It's always a big problem trying to get this stuff to work    0
Let me know when you want us to start   0
Are we there yet?   0
I need a tremendous amount of help    0
I'm only human after all    0
Find by error messages    0
HTTP Status 403- Access is denied   1
I will not allow you access   0
Invalid Argument    1
This page can't be displayed    1
TO be a mastermind we must test   0
I'm still recovering from a broken heart here.    0
Why are government websites so broken?    0
The comments put Zuckerberg in the middle of a contentious political battle that could soon be headed to court.   0
That earlier post, which touted Zuckerberg's immigrant roots, read:   0
We need to keep this country safe, but we should do that by focusing on people who actually pose a threat.    0
Last month, a group of attorneys general from 10 states sent a letter to Trump    0
A hawk became an unlikely sidekick to a Texas cab driver after seeking refuge inside the man’s vehicle and apparently refusing to leave.    0
I just got a new puppy!   0
I couldn't find my puppy    0
Bruso said he tried to shoo the hawk away, to no avail.   0
TWRC confirmed the bird’s rescue and said it would follow up with additional information later on Sunday.    0
Spotify is where I get all my music   0
That self-assured vibe comes through in their own music, like in “Ready for You,” a bouncy, synthy come-on to a onetime lover.    0
“And going after it,” Este said, “and not being apologetic about it.”   0
They get sent tons of numbers and stats, and then compare these to their economic models.   0
What do you say to that? Do you take him on a tour of Britain? Or do you just let him rot   0
Alexandru Duru, a software engineer, built a record breaking hoverboard from scratch. Duru is developing a commercial version of his Omni hoverboard, so you too can achieve your hoverboard dreams.    0
We have an intuitive understanding of how the world works. Our intuition works well in our everyday lives, but it doesn’t quite match reality.    0
This idea is known as macrorealism, in that a macroscopic object such as your house is still there even when you’re not looking at it.    0
If you open the box and see heads, then ten seconds later when you open the box you must also see heads.    0
If macrorealism is true, then middle observations being always the same as the first and last observation, always opposite or always random are the only possibilities for the experiment.    0
This reality condition can be expressed in a simple inequality known as the Leggett-Garg Inequality.    0
What’s interesting is that quantum systems violate this inequality all the time.    0
It’s one more example of how our intuition fails when it comes to quantum theory.   0
5 User tips for creating the best error messages    0
There seems to be a problem   1
Ouch that hurt 500    1
500 Internal Server Error   1
Something went wrong, reload the page and try again   1
Our site is over capacity, sorry for the inconvenience    1
There is a problem with the resource you are looking for, it can't be located   1
Oops. We must have missed this one, 500 internal Server Error   1
A Failure has occurred on the website. Please contact your admin immediately   1
This page isn't working, please close the browser and try again.    1
Server doesn't listen   1
A team of highly trained monkeys has been dispatched to deal with this situation    1
Error 504. Server is unavailable    1
Servlet execution threw an exception    1
We've happened upon a bit of a problem... 500 (Internal Server) Error    1
500 sorry its not you. It's us    1
500 error, I'm sorry, I'm afraid I can't do that.   1
I made 500 bucks the other day.   0
Please fix your server errors people    0
please hold tight. So sorry, but high traffic is causing delays.    1
The traffic tonight in the area is going to be significantly busy   0
Unable to create your request at this time, please check back later   1
Bad Request received    1
400: Bad Request we could not render    1
I requested a transfer but was denied.    0
Gatway Timeout has occurred, we are sorry for the trouble we have caused.   1
Love remote work! Give us a call   0
Error encountered on authentication with server   1
OAuthException: Some of the aliases you requested do not exist    0
400 bad request   1
The server encountered an error or mis configuration on the server    1
The specified account already exists.   1
The specified account is in the process of being created    1
The specified account is disabled    1
Server failed to authenticate the request. Make sure the value of the Authorization header is formed correctly including the signature    1
Condition headers are not supported   1
Bad Request The key for one of the metadata key value pairs is empty    1
Write operations are not allowed    1
The specified resource name contains invalid characters   1
The Content-Length header was not specified   1
One of the request inputs is out of range   1
A query parameter specified in the request is outside the permissible range   1
503 Service unavailable.    1
In the previous posts in this series about Pragmatic REST API design    0
We can't begin to determine what the issue is   0
A couple of best practices are included in the exercises   0
I'm experiencing these errors too much I think    0
Provides error codes but with no additional value in the payload    0
Not exactly sure how many times this will fail    0
I'm sorry I didn't understand   0
We have a long way to go    0
Can't tell what time it is yet. My watch is broken.   0
Our website is broken, sorry for all the trouble we caused    1
Check the error messages in the code    0
You keep making bad requests of me.   0
It's error messages are completely original   0
Wow! That was successful    0
Use plain language descriptions   0
